id,instituicao,bairro,cep,cidade,descricao,fields/email,fields/endereco,fields/entidade_que_administra_o_abrigo,fields/estado,fields/facebook,idade,numero_de_criancas,pais,possui_programa_de_apadrinhamento_afetivo,responsavel,site,telefone,end_format,lat_long,user_inst,logo_img,autorizado,editado
0,Casa de convivência - unidade viii,Aclimação,1526000,São Paulo,Ligado a ONG Lar Batista de Crianças.,aclimacao@larbatista.com.br,rua bueno de andrade 266,,SP,,de 0 a 15 anos,20,Brasil,,,www.larbatista.com.br,11-3209-0110,"['Rua Bueno de Andrade, 266, Liberdade, São Paulo - SP, 01526-000, Brasil, São Paulo, SP 01526-000, BRA', (-23.5626399, -46.63185)]","-23.5626399,-46.63185",,,true,true
1,Casa vida,Agua Rasa,3175001,São Paulo,Ligada ao Centro Social Nossa Senhora do Bom Parto,acolhe@acolhe.org.br,rua serra de jairé 1433,,SP,,de 0 a 18 anos,23,Brasil,,,http //www.acolhe.org.br,11-6606-2185,"['Rua Serra de Jairé, 1433, Água Rasa, São Paulo - SP, 03175-001, Brasil, São Paulo, SP 03175-001, BRA', (-23.5534612, -46.5799406)]","-23.5534612,-46.5799406",,,true,true
2,Nosso lar iii,Água Rasa,03343-030,São Paulo,,captacaorecursos@capsnossolar.org.br,rua jalisco 12,,SP,,de 0 a 17 anos,20,Brasil,,,,11- 2020-8888,"['Rua Jalisco, 12, Água Rasa, São Paulo - SP, 03343-030, Brasil, São Paulo, SP 03343-030, BRA', (-23.56342, -46.56528)]","-23.56342,-46.56528",,,true,true
3,Auxiliadora i - centro de referência - porta de entrada,Balneário São Francisco,4473070,São Paulo,Ligada a ONG Centro Comunitário Católico e Obras Sociais Oscar Romero.,,rua dos carapós 01,,SP,,de 0 a 7 anos,20,Brasil,,,,11-5676-2512,"['Rua dos Carapós, Pedreira, São Paulo - SP, 04473-070, Brasil, São Paulo, SP 04473-070, BRA', (-23.69837, -46.64949)]","-23.69837,-46.64949",,,true,true
4,,Barra Funda,1136000,São Paulo,"A Fraternidade Irmã Clara é uma Instituição Beneficente, fundada em 1982, que tem como finalidade proporcionar o acolhimento, a reabilitação e a inclusão social de pessoas com o diagnóstico de Paralisia Cerebral. A FIC é mantida através de doações de pessoas físicas e/ou jurídicas.",,,,,,,,,,,,,,,,,true,true
5,Casa taiguara bela vista,Bela Vista,1320021,São Paulo,,casataiguara.vicente@terra.com.br,rua vicente prado 93,,SP,,de 13 a 18 anos,15,Brasil,,Vicente de Almeida Junior,http //www.casataiguara.org.br,11-3241-3146,"['Rua Vicente Prado, 93, Bela Vista, São Paulo - SP, 01321-020, Brasil, São Paulo, SP 01321-020, BRA', (-23.55661, -46.6412199)]","-23.55661,-46.6412199",,,true,true
6,Casa coração de maria,Belenzinho,3060010,São Paulo,Ligado ao centro Social Nossa Senhora do Bom Parto,,rua redenção 52,,SP,,de 0 a 18 anos,20,Brasil,,,http //www.acolhe.org.br,11-2081-1623,"['Rua Redenção, 52, Belém, São Paulo - SP, 03060-010, Brasil, São Paulo, SP 03060-010, BRA', (-23.53667, -46.58687)]","-23.53667,-46.58687",,,true,true
7,Casa maria maymard,Belenzinho,3060030,São Paulo,Ligada ao Centro Social Nossa Senhora do Bom Parto.,acolhe@acolhe.org.br,rua engenheiro muniz de aragão 40,,SP,,de 0 a 18 anos,20,Brasil,,,http //www.acolhe.org.br/teste/casas.html,11-3578-5672,"['Rua Engenheiro Muniz de Aragão, 40, Belém, São Paulo - SP, 03060-030, Brasil, São Paulo, SP 03060-030, BRA', (-23.53813, -46.58484)]","-23.53813,-46.58484",,,true,true
8,Casa santa bakhita,Belenzinho,3086040,São Paulo,Ligada ao Centro Social Nossa Senhora do Bom Parto,casabakhita@ig.com.br,rua herval 942,,SP,,de 0 a 3 anos,25,Brasil,,,www.bompar.org.br,11-2692-4569,"['Rua Herval, 942, Belém, São Paulo - SP, 03062-000, Brasil, São Paulo, SP 03062-000, BRA', (-23.54036, -46.58626)]","-23.54036,-46.58626",,,true,true
9,Abrigo instituto dom bosco,Bom Retiro,1131000,São Paulo,,adm_idb@idb.org.br,rua dos italianos 1246,,SP,,de 0 a 18 anos,23,Brasil,,,,11-3337-3289,"['Rua dos Italianos, 1246, Bom Retiro, São Paulo - SP, 01131-000, Brasil, São Paulo, SP 01131-000, BRA', (-23.5189579, -46.6467262)]","-23.5189579,-46.6467262",,,true,true
